image_name,angry,disgust,fear,happy,sad,surprise,neutral,sum,positive,negative,outcome
frame_E_4995.jpg,0.26,0.01,0.44,0.0,0.2,0.02,0.07,1.0,0.02,0.9099999999999999,NG
frame_E_5025.jpg,0.22,0.0,0.02,0.04,0.28,0.01,0.42,0.99,0.05,0.52,NT
frame_E_5039.jpg,0.4,0.0,0.23,0.01,0.15,0.14,0.08,1.01,0.15000000000000002,0.78,NG
frame_E_5046.jpg,0.49,0.0,0.03,0.0,0.48,0.0,0.0,1.0,0.0,1.0,NG
frame_E_5088.jpg,0.06,0.0,0.1,0.0,0.27,0.0,0.57,1.0,0.0,0.43000000000000005,NT
frame_E_5104.jpg,0.18,0.0,0.04,0.39,0.1,0.01,0.29,1.01,0.4,0.32,PS
frame_E_5113.jpg,0.34,0.02,0.04,0.4,0.12,0.02,0.07,1.01,0.42000000000000004,0.52,PS
frame_E_5119.jpg,0.23,0.0,0.27,0.0,0.2,0.07,0.24,1.01,0.07,0.7,NG
frame_E_5132.jpg,0.19,0.0,0.04,0.61,0.13,0.0,0.03,1.0,0.61,0.36,PS
frame_E_5145.jpg,0.16,0.0,0.01,0.02,0.05,0.0,0.75,0.99,0.02,0.22000000000000003,NT
frame_E_5162.jpg,0.03,0.0,0.0,0.06,0.02,0.0,0.89,1.0,0.06,0.05,NT
frame_E_5200.jpg,0.08,0.0,0.06,0.18,0.09,0.03,0.56,1.0,0.21,0.23,PS
frame_E_5214.jpg,0.15,0.01,0.09,0.04,0.53,0.01,0.16,0.9900000000000001,0.05,0.78,NG
frame_E_5247.jpg,0.84,0.0,0.03,0.0,0.07,0.0,0.06,1.0,0.0,0.94,NG
frame_E_5272.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
frame_E_5295.jpg,0.34,0.0,0.19,0.0,0.28,0.02,0.17,1.0,0.02,0.81,NG
frame_E_5317.jpg,0.06,0.0,0.0,0.0,0.3,0.0,0.65,1.01,0.0,0.36,NT
frame_E_5332.jpg,0.08,0.0,0.07,0.66,0.02,0.01,0.16,1.0,0.67,0.17,PS
frame_E_5370.jpg,0.31,0.0,0.12,0.09,0.4,0.04,0.03,0.9900000000000001,0.13,0.8300000000000001,NG
frame_E_5444.jpg,0.16,0.0,0.07,0.18,0.36,0.01,0.22,1.0,0.19,0.59,NG
frame_E_5465.jpg,0.36,0.0,0.25,0.0,0.13,0.03,0.23,1.0,0.03,0.74,NG
frame_E_5498.jpg,0.44,0.05,0.03,0.29,0.1,0.02,0.08,1.01,0.31,0.62,PS
frame_E_5536.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
frame_E_5587.jpg,0.03,0.0,0.04,0.02,0.03,0.12,0.77,1.01,0.13999999999999999,0.1,NT
frame_E_5600.jpg,0.14,0.01,0.22,0.12,0.15,0.14,0.22,1.0,0.26,0.52,PS
frame_E_5602.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
frame_E_5630.jpg,0.4,0.16,0.32,0.06,0.05,0.01,0.0,1.0000000000000002,0.06999999999999999,0.9300000000000002,NG
frame_E_5644.jpg,0.07,0.0,0.05,0.01,0.14,0.02,0.71,1.0,0.03,0.26,NT
frame_E_5661.jpg,0.02,0.0,0.05,0.02,0.04,0.17,0.69,0.99,0.19,0.11000000000000001,NT
frame_E_5675.jpg,0.27,0.01,0.15,0.0,0.36,0.0,0.21,1.0,0.0,0.79,NG
frame_E_5698.jpg,0.03,0.0,0.02,0.84,0.02,0.08,0.01,1.0,0.9199999999999999,0.07,PS
frame_E_5717.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
frame_E_5747.jpg,0.2,0.0,0.13,0.0,0.16,0.01,0.51,1.01,0.01,0.49,NT
frame_E_5749.jpg,0.19,0.0,0.06,0.0,0.17,0.02,0.56,1.0,0.02,0.42000000000000004,NT
frame_E_5755.jpg,0.08,0.0,0.15,0.02,0.37,0.2,0.18,1.0,0.22,0.6,PS
frame_E_5773.jpg,0.62,0.0,0.05,0.01,0.08,0.01,0.24,1.01,0.02,0.75,NG
frame_E_5778.jpg,0.04,0.01,0.21,0.1,0.12,0.19,0.35,1.02,0.29000000000000004,0.38,PS
frame_E_5837.jpg,0.04,0.0,0.18,0.01,0.53,0.06,0.18,1.0,0.06999999999999999,0.75,NG
frame_E_5851.jpg,0.26,0.0,0.29,0.0,0.26,0.05,0.13,0.9900000000000001,0.05,0.81,NG
frame_E_5856.jpg,0.17,0.0,0.62,0.0,0.16,0.04,0.02,1.01,0.04,0.9500000000000001,NG
frame_E_5861.jpg,0.67,0.0,0.28,0.02,0.01,0.0,0.01,0.9900000000000001,0.02,0.9600000000000001,NG
frame_E_5878.jpg,0.03,0.0,0.0,0.16,0.01,0.0,0.8,1.0,0.16,0.04,NT
frame_E_5922.jpg,0.08,0.0,0.03,0.51,0.03,0.03,0.31,0.99,0.54,0.14,PS
frame_E_5947.jpg,0.07,0.0,0.13,0.0,0.38,0.0,0.43,1.01,0.0,0.5800000000000001,NT
frame_E_5949.jpg,0.02,0.0,0.03,0.0,0.16,0.02,0.76,0.99,0.02,0.21000000000000002,NT
frame_E_5966.jpg,0.87,0.01,0.03,0.0,0.08,0.0,0.0,0.99,0.0,0.99,NG
frame_E_5989.jpg,0.09,0.0,0.05,0.01,0.72,0.0,0.14,1.01,0.01,0.86,NG
frame_E_5990.jpg,0.12,0.0,0.06,0.54,0.03,0.01,0.24,1.0,0.55,0.21,PS
frame_E_6007.jpg,0.38,0.0,0.05,0.02,0.47,0.0,0.08,0.9999999999999999,0.02,0.8999999999999999,NG
frame_E_6032.jpg,0.17,0.0,0.07,0.0,0.1,0.08,0.59,1.01,0.08,0.34,NT
frame_E_6041.jpg,0.12,0.0,0.12,0.0,0.73,0.01,0.01,0.99,0.01,0.97,NG
frame_E_6044.jpg,0.03,0.0,0.63,0.0,0.01,0.32,0.01,1.0,0.32,0.67,PS
frame_E_6067.jpg,0.09,0.0,0.17,0.13,0.35,0.09,0.17,1.0,0.22,0.61,PS
frame_E_6099.jpg,0.65,0.0,0.22,0.0,0.12,0.0,0.0,0.99,0.0,0.99,NG
frame_E_6125.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
frame_E_6141.jpg,0.06,0.0,0.35,0.0,0.53,0.01,0.05,1.0,0.01,0.94,NG
frame_E_6171.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
frame_E_6194.jpg,0.25,0.07,0.24,0.0,0.44,0.0,0.0,1.0,0.0,1.0,NG
frame_E_6211.jpg,0.71,0.0,0.16,0.0,0.12,0.0,0.0,0.99,0.0,0.99,NG
frame_E_6219.jpg,0.15,0.0,0.06,0.64,0.05,0.0,0.09,0.99,0.64,0.26,PS
frame_E_6226.jpg,0.36,0.0,0.17,0.33,0.09,0.01,0.04,1.0,0.34,0.62,PS
frame_E_6229.jpg,0.32,0.0,0.45,0.0,0.2,0.0,0.03,1.0,0.0,0.97,NG
frame_E_6321.jpg,0.06,0.0,0.67,0.0,0.15,0.11,0.01,1.0,0.11,0.88,NG
frame_E_6345.jpg,0.05,0.0,0.0,0.0,0.07,0.0,0.87,0.99,0.0,0.12000000000000001,NT
frame_E_6384.jpg,0.33,0.0,0.21,0.0,0.3,0.09,0.06,0.99,0.09,0.8400000000000001,NG
frame_E_6403.jpg,0.04,0.0,0.09,0.26,0.36,0.03,0.21,0.99,0.29000000000000004,0.49,PS
frame_E_6413.jpg,0.1,0.0,0.3,0.01,0.09,0.05,0.44,0.99,0.060000000000000005,0.49,NT
frame_E_6439.jpg,0.29,0.0,0.1,0.03,0.15,0.01,0.42,1.0,0.04,0.54,NT
frame_E_6456.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
frame_E_6460.jpg,0.19,0.06,0.51,0.08,0.1,0.04,0.02,1.0,0.12,0.86,NG
frame_E_6474.jpg,0.04,0.0,0.0,0.0,0.02,0.0,0.93,0.99,0.0,0.06,NT
frame_E_6530.jpg,0.41,0.01,0.15,0.02,0.25,0.02,0.15,1.01,0.04,0.82,NG
frame_E_6543.jpg,0.11,0.0,0.02,0.0,0.06,0.02,0.79,1.0,0.02,0.19,NT
frame_E_6585.jpg,0.07,0.01,0.02,0.55,0.16,0.05,0.14,1.0,0.6000000000000001,0.26,PS
frame_E_6597.jpg,0.14,0.0,0.23,0.28,0.21,0.02,0.12,1.0,0.30000000000000004,0.58,PS
frame_E_6600.jpg,0.26,0.0,0.04,0.0,0.25,0.02,0.43,1.0,0.02,0.55,NT
frame_E_6602.jpg,0.5,0.0,0.06,0.0,0.15,0.03,0.26,1.0,0.03,0.7100000000000001,NG
frame_E_6613.jpg,0.23,0.0,0.55,0.02,0.16,0.0,0.03,0.9900000000000001,0.02,0.9400000000000001,NG
frame_E_6643.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
frame_E_6654.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
frame_E_6669.jpg,0.05,0.0,0.17,0.0,0.73,0.0,0.05,1.0,0.0,0.95,NG
frame_E_6701.jpg,0.03,0.0,0.09,0.02,0.54,0.01,0.31,1.0,0.03,0.66,NG
frame_E_6706.jpg,0.12,0.0,0.08,0.12,0.11,0.02,0.55,1.0,0.13999999999999999,0.31,NT
frame_E_6707.jpg,0.43,0.0,0.05,0.07,0.09,0.01,0.35,1.0,0.08,0.57,NG
frame_E_6724.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
frame_E_6728.jpg,0.07,0.0,0.02,0.0,0.15,0.0,0.76,1.0,0.0,0.24,NT
frame_E_6736.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
frame_E_6743.jpg,0.08,0.0,0.49,0.0,0.31,0.07,0.05,1.0,0.07,0.8799999999999999,NG
frame_E_6775.jpg,0.21,0.0,0.18,0.0,0.27,0.01,0.34,1.01,0.01,0.66,NG
frame_E_6834.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
frame_E_6835.jpg,0.09,0.0,0.06,0.03,0.11,0.2,0.5,0.99,0.23,0.26,PS
frame_E_6839.jpg,0.26,0.0,0.12,0.54,0.04,0.01,0.03,1.0,0.55,0.42,PS
frame_E_6854.jpg,0.35,0.0,0.11,0.07,0.32,0.02,0.12,0.9900000000000001,0.09000000000000001,0.78,NG
frame_E_6858.jpg,0.08,0.0,0.03,0.68,0.14,0.04,0.02,0.9900000000000001,0.7200000000000001,0.25,PS
frame_E_6860.jpg,0.28,0.0,0.06,0.0,0.35,0.0,0.3,0.99,0.0,0.69,NG
frame_E_6879.jpg,0.06,0.0,0.01,0.02,0.03,0.0,0.88,1.0,0.02,0.09999999999999999,NT
frame_E_6881.jpg,0.21,0.01,0.08,0.05,0.31,0.0,0.35,1.0099999999999998,0.05,0.61,NG
frame_E_6886.jpg,0.05,0.01,0.19,0.06,0.18,0.26,0.26,1.01,0.32,0.43,PS
frame_E_6905.jpg,0.41,0.02,0.03,0.27,0.07,0.01,0.19,1.0,0.28,0.53,PS
frame_E_6916.jpg,0.03,0.0,0.05,0.02,0.04,0.16,0.71,1.01,0.18,0.12,NT
frame_E_6999.jpg,0.05,0.0,0.1,0.02,0.05,0.05,0.72,0.99,0.07,0.2,NT
frame_E_7051.jpg,0.17,0.0,0.05,0.06,0.16,0.02,0.54,1.0,0.08,0.38,NT
frame_E_7055.jpg,0.09,0.0,0.14,0.11,0.15,0.07,0.43,0.99,0.18,0.38,NT
frame_E_7087.jpg,0.18,0.0,0.11,0.2,0.41,0.06,0.04,1.0,0.26,0.7,PS
frame_E_7145.jpg,0.1,0.0,0.07,0.12,0.14,0.0,0.57,1.0,0.12,0.31000000000000005,NT
frame_E_7149.jpg,0.06,0.0,0.25,0.07,0.14,0.03,0.45,1.0,0.1,0.45,NT
frame_E_7175.jpg,0.51,0.01,0.02,0.03,0.28,0.0,0.16,1.01,0.03,0.8200000000000001,NG
frame_E_7176.jpg,0.09,0.0,0.09,0.0,0.12,0.0,0.7,1.0,0.0,0.3,NT
